board,benchmark_type,voltage_v,charge_c,energy_mj
esp32dev,SPEECH_YES_NO,3.3,0.00505,16.665
esp32dev,PERSON_DETECTION,3.3,0.01852,61.116
esp32dev,NOISE_REDUCTION,3.3,0.00128,4.224
esp32dev,KWS_MICRONET_SMALL_INT8,3.3,0.01778,58.674
esp32dev,KWS_DNN_MEDIUM_INT8,3.3,0.00178,5.874
esp32dev,KWS_CNN_SMALL_FLOAT32,3.3,0.06536,215.688
esp32dev,KWS_CNN_MEDIUM_INT8,3.3,0.04086,134.838
esp32-s3-devkitm-1,SPEECH_YES_NO,3.3,0.00329,10.857
esp32-s3-devkitm-1,PERSON_DETECTION,3.3,0.0036,11.88
esp32-s3-devkitm-1,NOISE_REDUCTION,3.3,0.00036207,1.194831
esp32-s3-devkitm-1,KWS_MICRONET_SMALL_INT8,3.3,0.00911,30.063
esp32-s3-devkitm-1,KWS_DNN_MEDIUM_INT8,3.3,0.00047231,1.558623
esp32-s3-devkitm-1,KWS_CNN_SMALL_FLOAT32,3.3,0.02899,95.667
esp32-s3-devkitm-1,KWS_CNN_MEDIUM_INT8,3.3,0.00333,10.989
esp32-c6-devkitc-1,SPEECH_YES_NO,3.3,0.00261,8.613
esp32-c6-devkitc-1,PERSON_DETECTION,3.3,0.01388,45.804
esp32-c6-devkitc-1,NOISE_REDUCTION,3.3,0.0003922,1.29426
esp32-c6-devkitc-1,KWS_MICRONET_SMALL_INT8,3.3,0.01363,44.979
esp32-c6-devkitc-1,KWS_DNN_MEDIUM_INT8,3.3,0.00060581,1.999173
esp32-c6-devkitc-1,KWS_CNN_SMALL_FLOAT32,3.3,0.05467,180.411
esp32-c6-devkitc-1,KWS_CNN_MEDIUM_INT8,3.3,0.01623,53.559
esp32-p4-evboard,SPEECH_YES_NO,3.3,0.00329,10.857
esp32-p4-evboard,PERSON_DETECTION,3.3,0.00967,31.911
esp32-p4-evboard,NOISE_REDUCTION,3.3,0.00050235,1.657755
esp32-p4-evboard,KWS_MICRONET_SMALL_INT8,3.3,0.01788,59.004
esp32-p4-evboard,KWS_DNN_MEDIUM_INT8,3.3,0.00136,4.488
esp32-p4-evboard,KWS_CNN_SMALL_FLOAT32,3.3,0.02518,83.094
esp32-p4-evboard,KWS_CNN_MEDIUM_INT8,3.3,0.00667,22.011
picow,SPEECH_YES_NO,3.3,0.00831,27.423
picow,PERSON_DETECTION,3.3,0.03641,120.153
picow,NOISE_REDUCTION,3.3,0.00127,4.191
picow,KWS_MICRONET_SMALL_INT8,3.3,0.0341,112.53
picow,KWS_DNN_MEDIUM_INT8,3.3,0.00185,6.105
picow,KWS_CNN_SMALL_FLOAT32,3.3,0.19308,637.164
picow,KWS_CNN_MEDIUM_INT8,3.3,0.05167,170.511
nano33ble,SPEECH_YES_NO,5,0.00122,6.1
nano33ble,PERSON_DETECTION,5,0.00327,16.35
nano33ble,NOISE_REDUCTION,5,0.00007384,0.3692
nano33ble,KWS_MICRONET_SMALL_INT8,5,0.00323,16.15
nano33ble,KWS_DNN_MEDIUM_INT8,5,0.00008,0.4
nano33ble,KWS_CNN_SMALL_FLOAT32,5,0.00486,24.3
nano33ble,KWS_CNN_MEDIUM_INT8,5,0.00258,12.9
nucleo_l552ze_q,SPEECH_YES_NO,3.3,0.00119,3.927
nucleo_l552ze_q,PERSON_DETECTION,3.3,0.00324,10.692
nucleo_l552ze_q,NOISE_REDUCTION,3.3,0.00006764,0.223212
nucleo_l552ze_q,KWS_MICRONET_SMALL_INT8,3.3,0.00301,9.933
nucleo_l552ze_q,KWS_DNN_MEDIUM_INT8,3.3,0.00007244,0.239052
nucleo_l552ze_q,KWS_CNN_SMALL_FLOAT32,3.3,0.00485,16.005
nucleo_l552ze_q,KWS_CNN_MEDIUM_INT8,3.3,0.00246,8.118
nucleo_f207zg,SPEECH_YES_NO,3.3,0.00428,14.124
nucleo_f207zg,PERSON_DETECTION,3.3,0.01154,38.082
nucleo_f207zg,NOISE_REDUCTION,3.3,0.00029478,0.972774
nucleo_f207zg,KWS_MICRONET_SMALL_INT8,3.3,0.0124,40.92
nucleo_f207zg,KWS_DNN_MEDIUM_INT8,3.3,0.00032734,1.080222
nucleo_f207zg,KWS_CNN_SMALL_FLOAT32,3.3,0.05904,194.832
nucleo_f207zg,KWS_CNN_MEDIUM_INT8,3.3,0.01278,42.174
pico2,SPEECH_YES_NO,3.3,0.00214,7.062
pico2,PERSON_DETECTION,3.3,0.00438,14.454
pico2,NOISE_REDUCTION,3.3,0.00041483,1.368939
pico2,KWS_MICRONET_SMALL_INT8,3.3,0.00361,11.913
pico2,KWS_DNN_MEDIUM_INT8,3.3,0.00066272,2.186976
pico2,KWS_CNN_SMALL_FLOAT32,3.3,0.0164,54.12
pico2,KWS_CNN_MEDIUM_INT8,3.3,0.00246,8.118
teensy40,SPEECH_YES_NO,5,0.00072249,3.61245
teensy40,PERSON_DETECTION,5,0.00314,15.7
teensy40,NOISE_REDUCTION,5,0.00006396,0.3198
teensy40,KWS_MICRONET_SMALL_INT8,5,0.00268,13.4
teensy40,KWS_DNN_MEDIUM_INT8,5,0.0002958,1.479
teensy40,KWS_CNN_SMALL_FLOAT32,5,0.01296,64.8
teensy40,KWS_CNN_MEDIUM_INT8,5,0.01023,51.15
